label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
pTll_76_106,3,0,1,+++0,0.3333333333333333,4.064612113960196,1
pTll_76_106,0,3,1,---0,0.6666666666666666,22.50129789362811,9
pTll_76_106,0,3,1,--0-,0.9166666666666666,3.5012978936281005,10
pTll_76_106,0,3,1,-0--,1.0,-0.9983320866032509,-1
pTll_76_106,0,3,1,0---,0.9166666666666666,3.6644885925416677,10
pTll_76_106,2,1,1,-0++,0.0,23.00883846730181,1
pTll_76_106,2,1,1,-+0+,0.08333333333333333,22.8179908294541,1
pTll_76_106,2,1,1,-++0,0.3333333333333333,4.12011105347065,1
pTll_76_106,2,1,1,0-++,0.0,41.66448859254167,1
pTll_76_106,2,1,1,0+-+,0.08333333333333333,22.80915236215129,1
pTll_76_106,2,1,1,0++-,1.0,-0.9624430108716505,-1
pTll_76_106,2,1,1,+-0+,0.0,41.82767929145524,1
pTll_76_106,2,1,1,+-+0,0.6666666666666666,22.827679291455237,9
pTll_76_106,2,1,1,+0-+,0.0,22.991161532696193,1
pTll_76_106,2,1,1,+0+-,1.0,-1.0016679133987494,-1
pTll_76_106,2,1,1,++-0,0.3333333333333333,4.064612113960196,1
pTll_76_106,2,1,1,++0-,1.0,-0.9633013333052051,-1
pTll_76_106,1,2,1,--0+,0.0,41.501297893628106,1
pTll_76_106,1,2,1,--+0,0.6666666666666666,22.50129789362811,9
pTll_76_106,1,2,1,-0-+,0.0,23.00883846730181,1
pTll_76_106,1,2,1,-0+-,1.0,-0.9991416775674463,-1
pTll_76_106,1,2,1,-+-0,0.3333333333333333,4.12011105347065,1
pTll_76_106,1,2,1,-+0-,1.0,-0.9607750974739008,-1
pTll_76_106,1,2,1,0--+,0.0,41.66448859254167,1
pTll_76_106,1,2,1,0-+-,0.9166666666666666,3.6644885925416677,10
pTll_76_106,1,2,1,0+--,1.0,-0.9616334199074553,-1
pTll_76_106,1,2,1,+--0,0.6666666666666666,22.827679291455237,9
pTll_76_106,1,2,1,+-0-,0.9166666666666666,3.827679291455235,10
pTll_76_106,1,2,1,+0--,1.0,-1.0008583224345537,-1
pTll_76_106,2,0,2,00++,0.0,22.999999999999,1
pTll_76_106,2,0,2,0+0+,0.08333333333333333,22.80915236215129,1
pTll_76_106,2,0,2,0++0,0.3333333333333333,4.092361583715425,1
pTll_76_106,2,0,2,+00+,0.0,22.991161532696193,1
pTll_76_106,2,0,2,+0+0,0.5833333333333334,0.1631906989125641,4
pTll_76_106,2,0,2,++00,0.3333333333333333,4.064612113960196,1
pTll_76_106,0,2,2,--00,0.6666666666666666,22.50129789362811,9
pTll_76_106,0,2,2,-0-0,0.4166666666666667,0.2078826159299363,1
pTll_76_106,0,2,2,-00-,1.0,-0.9987368820853486,-1
pTll_76_106,0,2,2,0--0,0.6666666666666666,22.664488592541673,9
pTll_76_106,0,2,2,0-0-,0.9166666666666666,3.6644885925416677,10
pTll_76_106,0,2,2,00--,1.0,-0.999595204518902,-1
pTll_76_106,1,1,2,-00+,0.0,23.00883846730181,1
pTll_76_106,1,1,2,-0+0,0.4166666666666667,0.2078826159299363,1
pTll_76_106,1,1,2,-+00,0.3333333333333333,4.12011105347065,1
pTll_76_106,1,1,2,0-0+,0.0,41.66448859254167,1
pTll_76_106,1,1,2,0-+0,0.6666666666666666,22.664488592541673,9
pTll_76_106,1,1,2,00-+,0.0,22.999999999999,1
pTll_76_106,1,1,2,00+-,1.0,-1.000404795483098,-1
pTll_76_106,1,1,2,0+-0,0.3333333333333333,4.092361583715425,1
pTll_76_106,1,1,2,0+0-,1.0,-0.9620382153895529,-1
pTll_76_106,1,1,2,+-00,0.6666666666666666,22.827679291455237,9
pTll_76_106,1,1,2,+0-0,0.5833333333333334,0.1631906989125641,4
pTll_76_106,1,1,2,+00-,1.0,-1.0012631179166513,-1
phistar_50_76,3,1,0,-+++,0.08333333333333333,58.096294744583865,2
phistar_50_76,3,1,0,+-++,0.16666666666666666,22.94430730109394,1
phistar_50_76,3,1,0,++-+,0.16666666666666666,22.899425142180544,1
phistar_50_76,3,1,0,+++-,0.9166666666666666,0.64401492116283,1
phistar_50_76,1,3,0,---+,0.08333333333333333,58.38223215716052,2
phistar_50_76,1,3,0,--+-,0.8333333333333334,20.382232157160526,9
phistar_50_76,1,3,0,-+--,0.8333333333333334,20.09629474458387,9
phistar_50_76,1,3,0,+---,0.9166666666666666,0.5424685526012586,1
phistar_50_76,2,2,0,--++,0.08333333333333333,58.38223215716052,2
phistar_50_76,2,2,0,-+-+,0.08333333333333333,58.096294744583865,2
phistar_50_76,2,2,0,-++-,0.8333333333333334,20.09629474458387,9
phistar_50_76,2,2,0,+--+,0.16666666666666666,22.94430730109394,1
